Country,AQI,,
Albania,26,,
Algeria,51,,
Andorra,26,,
Angola,110,,
Argentina,31,,
Armenia,35,,
Australia,47,,
Austria,38,,
Azerbaijan,39,,
Bahrain,111,,
Bangladesh,129,,
Belarus,40,,
Belgium,70,,
Belize,31,,S
Bermuda,16,,
Bolivia,35,,
Bosnia and Herzegovina,64,,
Brazil,83,,
Brunei,13,,
Bulgaria,30,,
Burkina Faso,195,,
Cambodia,37,,
Canada,100,,
Cape Verde,37,,
Cayman Islands,20,,
Central African Republic,107,,
Chad,202,,
Chile,153,,
China,229,,
Colombia,73,,
Costa Rica,25,,
Croatia,37,,
Cyprus,54,,
Czech Republic,68,,
Denmark,23,,
Dominican Republic,29,,
Ecuador,52,,
Egypt,68,,
El Salvador,83,,
Estonia,26,,
Ethiopia,143,,
Finland,42,,
France,65,,
French Guiana,22,,
Gabon,98,,
Georgia,51,,
Germany,83,,
Ghana,60,,
Gibraltar,40,,
Greece,53,,
Grenada,17,,
Guadeloupe,19,,
Guam,4,,
Guatemala,86,,
Honduras,75,,
Hong Kong,59,,
Hungary,33,,
Iceland,15,,
India,215,,
Indonesia,95,,
Iran,140,,
Iraq,122,,
Ireland,36,,
Israel,74,,
Italy,59,,
Ivory Coast,44,,
Japan,96,,
Jersey,64,,
Jordan,32,,
Kazakhstan,120,,
Kenya,81,,
Kosovo,38,,
Kuwait,93,,
Kyrgyzstan,72,,
Laos,86,,
Latvia,22,,
Lebanon,83,,
Liberia,42,,
Liechtenstein,20,,
Lithuania,33,,
Luxembourg,38,,
Macao,66,,
Macedonia,50,,
Madagascar,71,,
Malaysia,68,,
Malta,44,,
Martinique,41,,
Mexico,131,,
Moldova,19,,
Monaco,36,,
Mongolia,62,,
Montenegro,42,,
Myanmar,105,,
Nepal,95,,
Netherlands,81,,
New Caledonia,27,,
New Zealand,35,,
Nigeria,84,,
Norway,35,,
Pakistan,74,,
Palestinian Territory,55,,
Peru,60,,
Philippines,54,,
Poland,76,,
Portugal,27,,
Puerto Rico,17,,
Qatar,75,,
Reunion,16,,
Romania,80,,
Russia,78,,
San Marino,44,,
Saudi Arabia,64,,
Senegal,71,,
Serbia,82,,
Singapore,44,,
Slovakia,48,,
Slovenia,40,,
South Africa,132,,
South Korea,110,,
Spain,80,,
Sri Lanka,55,,
Sudan,145,,
Sweden,39,,
Switzerland,25,,
Taiwan,78,,
Tajikistan,72,,
Thailand,144,,
Togo,96,,
Trinidad and Tobago,35,,
Turkey,122,,
Turkmenistan,77,,
Uganda,107,,
Ukraine,66,,
United Arab Emirates,88,,
United Kingdom of Great Britain and Northern Ireland,71,,
United States of America,164,,
Uzbekistan,64,,
Vatican,44,,
Venezuela,16,,
Vietnam,109,,
Zambia,73,,
